Campaign,Type,Ware,Number
SLP-2005,VAR,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,4
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,2
SLP-2005,STO,-0,1
SLP-2005,STO,-0,2
SLP-2005,VAR,-0,1
SLP-2005,VAR,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,2
SLP-2005,STO,-0,1
SLP-2005,MET,-0,1
SLP-2005,CER,-0,1
SLP-2005,CER,-0,2
SLP-2005,GLA,-0,1
SLP-2005,GLA,-0,1
SLP-2005,STO,-0,3
SLP-2005,STO,-0,1
SLP-2005,STO,-0,2
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,STO,-0,2
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,VAR,-0,1
SLP-2005,VAR,-0,3
SLP-2005,STO,-0,1
SLP-2005,STO,-0,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,2
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,1
SLP-2005,CER,ARS,4
SLP-2005,CER,ARS,1
SLP-2005,CER,AU,1
SLP-2005,CER,AU,1
SLP-2005,CER,AU,1
SLP-2005,CER,AU,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,3
SLP-2005,CER,BG,2
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,2
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,2
SLP-2005,CER,BG,2
SLP-2005,CER,BG,3
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,3
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,3
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,2
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,2
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,BG,1
SLP-2005,CER,CC,1
SLP-2005,CER,CC,1
SLP-2005,CER,CC,1
SLP-2005,CER,CC,1
SLP-2005,CER,CC,3
SLP-2005,CER,CC,1
SLP-2005,CER,CC,1
SLP-2005,CER,CC,1
SLP-2005,CER,CP,1
SLP-2005,CER,CP,1
SLP-2005,CER,CP,3
SLP-2005,CER,CW,1
SLP-2005,CER,CW,3
SLP-2005,CER,CW,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,9
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,10
SLP-2005,CER,CW1,10
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,14
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,13
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,8
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,12
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,8
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,12
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,9
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,10
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,11
SLP-2005,CER,CW1,9
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,9
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,12
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,11
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,11
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,17
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,9
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,8
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,9
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,16
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,8
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,13
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,7
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,13
SLP-2005,CER,CW1,8
SLP-2005,CER,CW1,14
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,17
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,8
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,6
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,15
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,5
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,10
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,4
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,1
SLP-2005,CER,CW1,2
SLP-2005,CER,CW1,3
SLP-2005,CER,CW1,11
SLP-2005,CER,CW1,5
